user_id,user_email,user_first_name,user_last_name,user_dob,user_role,user_phone,user_city,user_state,user_zip,user_school,user_employer,user_field_of_interest,user_password
1,penelope.martinez4@studentmail.org,Penelope,Martinez,3/3/00,participant,801-294-7224,Lehi,UT,84105,UVU,,Arts,default
2,natalie.torres6@studentmail.org,Natalie,Torres,6/28/04,participant,801-877-4733,Ogden,UT,84047,,,STEM,default
3,elizabeth.harris7@learners.net,Elizabeth,Harris,4/21/06,participant,801-573-3664,Riverton,UT,84651,UVU,,STEM,default
4,paisley.jones8@studentmail.org,Paisley,Jones,1/21/04,participant,801-673-7216,West Jordan,UT,84168,,Startup Lab,Both,default
5,victoria.lee9@ellarises.org,Victoria,Lee,12/31/06,participant,801-232-6168,West Jordan,UT,84842,BYU,,STEM,default
6,hannah.torres10@learners.net,Hannah,Torres,6/2/12,participant,801-711-7482,Sandy,UT,84672,Mountain View High,,STEM,default
7,lucy.rodriguez11@studentmail.org,Lucy,Rodriguez,2/2/11,participant,801-798-8019,Layton,UT,84765,SLCC,,Arts,default
8,victoria.rodriguez12@community.org,Victoria,Rodriguez,6/6/01,participant,801-248-2796,Ogden,UT,84774,,Tech Apprenticeship,STEM,default
9,elijah.hill13@ellarises.org,Elijah,Hill,11/13/09,participant,801-810-8668,Bountiful,UT,84391,BYU,,Both,default
10,olivia.davis14@learners.net,Olivia,Davis,7/19/01,participant,801-500-8123,Lehi,UT,84115,Mountain View High,,STEM,default
11,lucy.allen15@studentmail.org,Lucy,Allen,5/1/12,participant,801-308-5889,Pleasant Grove,UT,84935,,Cafe Rio,Both,default
12,nora.martinez16@learners.net,Nora,Martinez,1/5/98,participant,801-997-9689,Orem,UT,84553,,Local Library,Arts,default
13,alexander.johnson17@ellarises.org,Alexander,Johnson,4/20/99,participant,801-514-4923,Draper,UT,84900,Valley Charter,,Both,default
14,abigail.garcia18@community.org,Abigail,Garcia,11/17/00,participant,801-745-3060,Ogden,UT,84779,,Tech Apprenticeship,Arts,default
15,chloe.taylor19@community.org,Chloe,Taylor,12/28/13,participant,801-752-4295,Sandy,UT,84952,BYU,,Arts,default
16,zoe.lewis20@community.org,Zoe,Lewis,8/1/05,participant,801-430-2049,Logan,UT,84254,Westview High,,Both,default
17,madison.nguyen21@studentmail.org,Madison,Nguyen,2/19/03,participant,801-924-1964,Salt Lake City,UT,84073,East Ridge Middle,,STEM,default
18,skylar.jones22@studentmail.org,Skylar,Jones,2/4/10,participant,801-697-4510,Layton,UT,84686,North Summit High,,Both,default
19,jack.thomas23@community.org,Jack,Thomas,10/12/12,participant,801-296-2588,Taylorsville,UT,84195,SLCC,,Arts,default
20,elijah.clark24@community.org,Elijah,Clark,5/12/99,participant,801-869-2612,Provo,UT,84690,SLCC,,Both,default
21,violet.miller25@studentmail.org,Violet,Miller,2/22/01,participant,801-749-8350,Sandy,UT,84195,SLCC,,STEM,default
22,olivia.garcia27@studentmail.org,Olivia,Garcia,10/18/02,participant,801-697-8886,Orem,UT,84417,,Community Center,Arts,default
23,amelia.hernandez28@community.org,Amelia,Hernandez,5/25/04,participant,801-471-8454,Salt Lake City,UT,84400,SLCC,,Both,default
24,alexander.martinez29@studentmail.org,Alexander,Martinez,5/15/99,participant,801-259-9883,Murray,UT,84223,,Art Studio,Arts,default
25,amelia.brown30@community.org,Amelia,Brown,4/11/99,participant,801-743-3579,Pleasant Grove,UT,84942,,Cafe Rio,STEM,default
26,riley.jones31@ellarises.org,Riley,Jones,12/26/10,participant,801-322-5033,West Jordan,UT,84414,,Local Library,STEM,default
